cohort_rank,station,slug,action,proposed_summary,editorial_interest,evidence_quality,flag,reason,source_urls
107,DEEP IN SPACE,deep-in-space,improve,"DEEP IN SPACE is a Russian online project presenting music for imagined space travel, a strong atmospheric concept whose public materials provide little information about hosts, ownership, schedule, or community programming.",medium,low,insufficient_info,"The concept is memorable, but the evidence does not support a fuller editorial description.",https://deepinspace.ru/
108,Deep Radio,deep-radio,improve,"Deep Radio is a Dutch online dance station that describes nearly two decades of continuous dance-music broadcasting, but its public presentation offers limited detail on presenters, programming choices, or a community beyond the genre service.",low,medium,low_interest,"Longevity is notable, yet the available description remains broadly interchangeable with a commercial dance stream.",https://deep.radio/
109,DJ 666 Geordieblackcore,dj-666-geordieblackcore,improve,"DJ 666 Geordieblackcore is a laut.fm channel assembled around black metal, crust, death metal, grindcore, punk, and related extreme styles, with a sharply defined taste but little evidence of a wider editorial operation.",medium,low,low_interest_and_insufficient_info,The genre list is distinctive but comes from scraped tags and does not establish human programming.,https://laut.fm/dj666geordieblackcore
111,EBM,ebm,improve,"EBM is a Flatlines Radio channel focused on darkwave, electronic body music, industrial, and related new-wave territory, but the public evidence does not establish hosts, ownership, or a broader editorial programme.",low,low,low_interest_and_insufficient_info,"The identity is a genre label attached to a platform stream, with little accountable information.",https://flatlinesradio.de/
112,Echoes of Bluemars,echoes-of-bluemars,improve,"Echoes of Bluemars is an ambient internet project organized around spacious, cinematic, and space-themed listening, with a recognizable concept but limited public evidence of presenters or community programming.",medium,medium,low_interest,"The imaginative theme is distinctive, while the channel appears largely continuous rather than human-programmed.",http://www.echoesofbluemars.org/bluemars.php
113,ElectroZombies,electrozombies,improve,"ElectroZombies is a German synth-pop culture site and stream-oriented project covering classic and contemporary synth pop through music videos, album reviews, and related listening, rather than a clearly documented community station.",medium,medium,insufficient_info,"Editorial publishing is evident, but the exact relationship between website, stream, and station schedule is unclear.",https://electrozombies.com/
114,Elektronisch Querbeat,elektronisch-querbeat,improve,"Elektronisch Querbeat is a laut.fm electronic channel tagged for abstract, ambient, broken beat, dubstep, glitch, and IDM, offering broad experimental texture but little evidence of presenters or a distinct operating community.",low,low,low_interest_and_insufficient_info,The available record is a tag list and platform page rather than editorial documentation.,http://laut.fm/elektronisch_querbeat
115,EPIC CLASSICAL - Classical Dinner,epic-classical-classical-dinner,improve,"EPIC CLASSICAL Classical Dinner is a German online stream combining classical, piano, jazz, ambient, and lounge cues for background listening, with the network page offering little evidence of presenters or a distinct editorial voice.",low,low,low_interest_and_insufficient_info,The broad mood-service description suggests automated listening rather than a differentiated programme.,https://epic-classical.com/
116,EPIC CLASSICAL - Classical Oldies,epic-classical-classical-oldies,improve,"EPIC CLASSICAL Classical Oldies is a genre stream for older classical and piano selections with ambient, jazz, and lounge adjacency, but its public network page does not document hosts or a meaningful community model.",low,low,low_interest_and_insufficient_info,The channel is a narrowly packaged network stream with sparse editorial evidence.,https://epic-classical.com/
117,EPIC CLASSICAL - Classical Study,epic-classical-classical-study,improve,"EPIC CLASSICAL Classical Study is a background-oriented stream blending classical, piano, ambient, jazz, and chillout cues, with no clear public evidence of presenters, curation policy, or community beyond the network brand.",low,low,low_interest_and_insufficient_info,The supplied tags and network homepage do not support a richer editorial account.,https://epic-classical.com/
118,Euro Smooth Jazz,euro-smooth-jazz,improve,"Euro Smooth Jazz is a German-facing online stream and information page for contemporary smooth jazz, with playlist and current-song framing but little evidence of presenters, ownership, or a distinctive community role.",low,medium,low_interest,The service is a conventional single-genre stream whose public identity is primarily format-based.,http://eurosmoothjazz.com/
119,Experimentalgems,experimentalgems,improve,"Experimentalgems is a laut.fm channel tagged for ambient, drone, avant-garde, electronic, and experimental jazz, suggesting a potentially interesting niche but providing little evidence of presenters or programming decisions.",medium,low,insufficient_info,"The music territory is distinctive, but the only substantial evidence is scraped metadata.",https://laut.fm/experimentalgems
121,Flatlines Radio,flatlines-radio,improve,"Flatlines Radio is a German online service spanning darkwave, EBM, gothic, industrial, post-punk, metal, and neofolk, with a coherent alternative palette but limited public evidence of hosts or community programming.",medium,medium,low_interest,"The genre world is clear, but the service appears primarily format-driven and its editorial structure is not well documented.",https://www.flatlinesradio.de/
124,HEXX 9 Radio,hexx-9-radio,improve,"HEXX 9 Radio is an online experimental stream associated with dark ambient, occult, tape, EVP, and death-oriented sound. Its public-facing description is highly stylized, but does not establish an identifiable organization, location, or human programming structure.",low,low,low_interest_and_insufficient_info,"The homepage offers evocative fragments rather than verifiable station, ownership, schedule, or programming information.",http://hexx9.com/
125,HighFi Dream,highfi-dream,improve,"HighFi Dream is a U.S. HD4 radio stream presenting a curated music service under the HighFi Dream name. The available description identifies the broadcast outlet and curation claim, but supplies little about its programmers, community role, or musical point of view.",low,low,low_interest_and_insufficient_info,The public page provides a format label and slogan but not enough editorial or institutional detail to evaluate the service.,https://highfidream.com/
126,Hirschmilch Radio,hirschmilch-radio,improve,"Hirschmilch Radio is a German online channel centered on ambient, chillout, and relaxation listening. The stream has a clear mood-based format, but the available channel endpoint does not document an editorial team, schedule, ownership, or distinctive community context.",low,low,low_interest_and_insufficient_info,Evidence is limited to a stream URL and scraped genre tags; this appears to be a narrowly formatted channel rather than a documented editorial station.,https://hirschmilch.de:7001/chillout.mp3
128,Kapitał,kapita,improve,"Kapitał is a Polish community web radio presenting itself as a collective platform rather than a conventional commercial broadcaster. Its name and community positioning are clear, but the available homepage evidence does not establish its city, schedule, ownership, or particular musical focus.",medium,low,insufficient_info,The official site identifies a community-radio model but offers too little accessible detail to characterize its editorial range responsibly.,https://radiokapital.pl/
134,Lahmacun Radio,lahmacun-radio,improve,"Lahmacun Radio is an online music-and-culture service from Budapest, operating since 2018. Its public description establishes a local independent identity, but does not provide enough accessible schedule or organizational detail to explain how its music programming is selected.",medium,medium,insufficient_info,"The official homepage gives name, place, and start date but limited information about ownership, presenters, or musical remit.",https://lahmacun.hu/
135,laut.fm - Dark Sound United,laut-fm-dark-sound-united,improve,"Dark Sound United is a laut.fm channel assembled around black metal, gothic rock, industrial, new wave, synthpop, and adjacent dark music. Its genre lane is legible, but the available page does not identify human programmers or a community beyond the platform-hosted stream.",low,low,low_interest_and_insufficient_info,A platform page and scraped tags establish genre only; no independent editorial identity or schedule is evident.,https://laut.fm/dark-sound-united
136,laut.fm - Shamanic Tunes,laut-fm-shamanic-tunes,improve,"Shamanic Tunes is a laut.fm channel combining psychedelic, stoner, and hard rock with adjacent chillout, doom, and trip-hop tags. The channel has a recognizable mood and genre cluster, but no accessible evidence of presenters, ownership, or a broader editorial project.",low,low,low_interest_and_insufficient_info,The source is a platform page with scraped tags and no documented human programming model.,https://laut.fm/shamanic_tunes
137,Laut.FM Chillout-Radio,laut-fm-chillout-radio,improve,"Laut.FM Chillout-Radio is a Germany-linked internet channel focused on ambient and space-oriented chillout music. It offers a narrowly defined listening mood, but the available public material does not establish who programs it or what distinguishes it from other automated relaxation streams.",low,low,low_interest_and_insufficient_info,Only platform metadata and genre tags are available.,https://laut.fm/chilloutradio
138,laut.fm Schwarze Szene,laut-fm-schwarze-szene,improve,"Schwarze Szene is a laut.fm channel for darkwave, gothic, industrial, medieval, metal, neofolk, and related dark music. The genre territory is clear, but the available platform page does not document presenters, ownership, schedule, or a distinctive community role.",low,low,low_interest_and_insufficient_info,Evidence is limited to scraped tags on a hosting platform.,http://laut.fm/schwarzeszene
139,Laut.FM Shoegaze,laut-fm-shoegaze,improve,"Laut.FM Shoegaze is a platform-hosted channel built around shoegaze and neighboring dream-pop, post-punk, indie, ambient, and electronic sounds. Its specialist focus is apparent, but no accessible material identifies human curators, an organization, or programming beyond the genre list.",low,low,low_interest_and_insufficient_info,The listing supplies genre tags only and does not support a richer editorial account.,https://laut.fm/shoegaze
140,Le Grigri,le-grigri,improve,"Le Grigri is a French music publication and radio project presenting live tracks, artist selections, and carte-blanche programming. Its homepage shows active editorial features and cultural coverage, but the available extract does not clearly state its city, ownership, or regular broadcast structure.",medium,medium,insufficient_info,The official site contains evidence of editorial activity but is difficult to evaluate from the accessible homepage extract.,https://www.le-grigri.com/
141,LYL Radio,lyl-radio,improve,"LYL Radio is a French online station whose public-facing identity is centered on human-led music programming and a broad independent scene. The accessible homepage supplies too little detail about its base, ownership, schedule, or specific musical communities to support a more precise summary.",medium,low,insufficient_info,The homepage resolves to a minimal presentation with no enough accessible institutional or programming detail.,https://lyl.live/
142,MDR Sputnik Insomnia,mdr-sputnik-insomnia,improve,"MDR Sputnik Insomnia is a German broadcaster’s late-night music concept built around melancholic, psychedelic, and slow selections. The mood is distinctive, but the available page does not explain the show’s current schedule, presenters, or editorial relationship to MDR Sputnik in enough detail.",medium,medium,insufficient_info,"A broadcaster page and scraped descriptors identify the concept, but evidence for current editorial structure is sparse.",http://sputnik.de/sendungen/musikspecials/sputnik-insomnia--100.html
143,Melodies Web Radio,melodies-web-radio,improve,"Melodies Web Radio is a Greek online channel associated with ambient, relaxation music, and jazz. Its mood-based remit is clear from the available listing, but the public material does not establish its programmers, location beyond country, ownership, or a distinctive editorial approach.",low,low,low_interest_and_insufficient_info,The accessible source is a basic site with scraped genre information and little evidence of human curation.,https://melodieswebradio.wixsite.com/
144,Memory Lane | NTS,memory-lane-nts,improve,"Memory Lane is an NTS Infinite Mixtape built as a continuous online selection rather than a separately documented station. Its archival, mood-driven concept fits NTS’s curated listening tools, but the page offers little information about a permanent host, schedule, or independent identity.",medium,medium,insufficient_info,The official page establishes an NTS mixtape but not enough detail to evaluate it as a standalone station.,https://www.nts.live/infinite-mixtapes/memory-lane
145,Modular-Station,modular-station,improve,"Modular Station is a French online radio project organized around modular music and electronic listening. The title establishes a specialist focus, but the accessible public description does not sufficiently document its programmers, location, schedule, ownership, or relationship to a wider music community.",medium,low,insufficient_info,"The official homepage is sparse, leaving the station’s editorial model difficult to evaluate.",https://modular-station.com/
146,NEOFOLK,neofolk,improve,"NEOFOLK is a Germany-linked channel focused on neofolk and adjacent darkfolk, experimental, industrial, pagan, and post-punk music. The specialist territory is clear, but the available page does not identify a programming team, schedule, ownership, or community context beyond the genre catalog.",low,low,low_interest_and_insufficient_info,The source exposes genre tags but little evidence of an independent editorial organization.,https://flatlinesradio.de/
148,Nightride FM - Datawave,nightride-fm-datawave,improve,"Nightride FM’s Datawave channel is an online synthwave and cyberpunk stream spanning retrowave, darksynth, EBM, drum and bass, techno, and related electronic styles. Its scene focus is clear, but the public description does not establish presenters, ownership, or a broader editorial program.",low,medium,low_interest,The official page supports a focused genre stream but provides little evidence of human or community programming.,https://nightride.fm/
149,OFFradio (320),offradio-320,improve,"OFFradio is a Greek online station that has presented music streaming from 2008. Its public description emphasizes a popular continuous service, but does not provide enough accessible information about presenters, ownership, location, schedule, or musical selection to characterize a stronger editorial identity.",low,low,low_interest_and_insufficient_info,The homepage offers a longevity and popularity claim but little verifiable programming detail.,http://offradio.gr/
150,p-node,p-node,improve,"p-node is a French hybrid radio and streaming platform whose identity sits between broadcast, networked media, and experimental online infrastructure. The available homepage establishes that hybrid model, but gives too little accessible information about its programmers, geography, or musical focus.",medium,low,insufficient_info,The official site identifies an unusual platform model but does not expose enough detail for a confident music description.,https://p-node.org/
151,Planet Ambi HD,planet-ambi-hd,improve,"Planet Ambi HD is a Switzerland-linked 24-hour ambient stream designed for relaxation and sleep, emphasizing beatless soundscapes. Its use case and musical focus are explicit, but there is no accessible evidence of presenters, a community, or a distinctive editorial selection process.",low,medium,low_interest,"This is a clearly labeled functional ambient stream, but not an evidently differentiated human-curated station.",https://planetambi.com/
152,Play Emotions,play-emotions,improve,"Play Emotions is an Italian-linked online channel associated with ambient, chillout, and relaxing music. The mood-based format is apparent from the available metadata, but the public record does not identify its organization, location, presenters, schedule, or musical point of view.",low,low,low_interest_and_insufficient_info,Only scraped tags and no reliable editorial or institutional context are available., 
154,PsyRadio Chillout,psyradio-chillout,improve,"PsyRadio Chillout is the chillout stream in PSYRadio’s four-channel online network, alongside progressive, psytrance, and alternative services. It offers a clear psychedelic-electronic listening lane, but the available official description does not establish presenters, ownership, or a distinctive editorial community.",low,medium,low_interest,The channel is a narrowly defined companion stream with limited evidence of human programming.,http://psyradio.fm/
155,PsyStream,psystream,improve,"PsyStream is a UK-linked online channel focused on progressive, psychedelic, psytrance, and trance music. Its genre territory is identifiable, but the available public source does not document presenters, ownership, schedule, or a curatorial approach beyond the format labels.",low,low,low_interest_and_insufficient_info,The accessible evidence is a genre listing rather than a documented editorial station.,http://psymusic.co.uk/
156,RADCAP: AMBIENT DUB,radcap-ambient-dub,improve,"RADCAP’s Ambient Dub channel is a Russian genre stream dedicated to ambient dub. It belongs to the Radio Caprice network of narrowly labeled channels, but the available page offers no evidence of presenters, community participation, or a selection process beyond continuous genre programming.",low,medium,low_interest,"The network and channel remit are identifiable, but the service is editorially undifferentiated from an automated specialist feed.",http://radcap.ru/ambientdub.html
157,RADCAP: ATMOSPHERIC / AMBIENT BLACK METAL,radcap-atmospheric-ambient-black-metal,improve,"RADCAP’s Atmospheric/Ambient Black Metal channel is a Russian Radio Caprice stream focused on atmospheric and ambient black metal. Its specialist genre is precise, but the available page does not document human hosts, schedule, ownership beyond the network, or a wider scene role.",low,medium,low_interest,A narrowly labeled network stream with no accessible evidence of a distinct programming organization.,http://radcap.ru/aabmds.html
158,RADCAP: DRONE AMBIENT,radcap-drone-ambient,improve,"RADCAP’s Drone Ambient channel is a Russian Radio Caprice stream devoted to drone and ambient music. The format is unambiguous, but the available channel page does not identify presenters, community, schedule, or curatorial practices beyond continuous genre delivery.",low,medium,low_interest,The stream is a narrow network genre channel and appears commercially and editorially undifferentiated.,http://radcap.ru/droneambient.html
159,RADCAP: INDUSTRIAL / DARK / RITUAL AMBIENT,radcap-industrial-dark-ritual-ambient,improve,"RADCAP’s Industrial/Dark/Ritual Ambient channel is a Russian Radio Caprice stream for dark ambient and industrial-adjacent sound. Its thematic territory is specific, but the accessible page provides no evidence of hosts, community, or a distinct editorial process beyond the genre label.",low,medium,low_interest,The network channel has a clear mood but little evidence of human-led programming.,http://radcap.ru/darkambient.html
160,Radio Caprice - Avant-Garde Jazz / Free Improvisation [2],radio-caprice-avant-garde-jazz-free-improvisation-2,improve,"Radio Caprice’s Avant-Garde Jazz/Free Improvisation channel is a Russian network stream for experimental jazz. The specialist remit may interest listeners seeking a narrow catalog, but the available source does not identify hosts, schedule, community, or curation beyond continuous genre programming.",low,medium,low_interest,A precise but apparently automated network channel with no documented editorial organization.,http://radcap.ru/avantgardejazz.html
161,Radio Caprice - Experimental Techno [2],radio-caprice-experimental-techno-2,improve,"Radio Caprice’s Experimental Techno channel is a Russian network stream focused on experimental electronic music. Its genre target is clear, but the public channel page does not document presenters, schedule, ownership beyond Radio Caprice, or a distinctive human editorial model.",low,medium,low_interest,The channel is a narrow specialist feed with no accessible evidence of human-led programming.,http://radcap.ru/exptechno.html
162,Radio Caprice - Folk Death Metal,radio-caprice-folk-death-metal,improve,"Radio Caprice’s Folk Death Metal channel is a Russian network stream dedicated to the intersection of folk and death metal. The unusual genre pairing gives it some discovery value, but the available page does not show presenters, schedule, community, or curation beyond continuous network delivery.",medium,medium,low_interest,"The niche is distinctive, but the channel remains an undocumented genre feed rather than an evident editorial station.",http://radcap.ru/folkdeathmetal.html
163,Radio Caprice - Psychedelic Folk,radio-caprice-psychedelic-folk,improve,"Radio Caprice’s Psychedelic Folk channel is a Russian network stream focused on psychedelic folk. Its narrow musical premise is legible, but the accessible page does not identify hosts, schedule, organization beyond Radio Caprice, or a human selection process.",low,medium,low_interest,The channel has a precise genre label but no documented editorial structure.,http://radcap.ru/psychfolk.html
