rank,station,slug,country,organization,homepage,scrape_score,scraped_evidence,scraped_tags,scraped_blurb
21,Anon.FM,anon-fm,The Russian Federation,,https://anon.radio.fm/,9.7,experimental (tag); psychedelic (tag); psych (tag),"[""anime"", ""dnb"", ""downtempo"", ""experimental"", ""jazz"", ""psychedelic"", ""rock"", ""trance""]","Радио Анонимус - некоммерческий проект радиостанции, созданный в 2009 году, где каждый может показать себя и свои таланты. У тебя хороший голос? Ты умеешь петь? Разбираешься в музыке и в курсе современных музыкальных тенденций? Может быть ты можешь часами говорить о вышивании кре"
22,Resonance Extra,resonance-extra,The United Kingdom Of Great Britain And Northern Ireland,,https://extra.resonance.fm/,9.25,experimental (tag); sound art (tag),"[""experimental"", ""global"", ""sound art""]","Resonance Extra is a 24/7 digital broadcasting platform dedicated to global music, sound art and radio art based at Resonance, London"
23,bauhaus.fm,bauhaus-fm,Germany,,https://www.uni-weimar.de/projekte/bauhaus-fm,9.25,experimental (tag); sound art (tag),"[""bauhaus"", ""experimental"", ""slow radio"", ""sound art""]",bauhaus.fm – Das experimentelle Radio an der Bauhaus-Universität Weimar | UKW 106.6 MHz
24,RADCAP: DRONE AMBIENT,radcap-drone-ambient,The Russian Federation,,http://radcap.ru/droneambient.html,8.92,drone (name); ambient (name),"[""ambient"", ""drone"", ""drone ambient""]","Радиоканал RADCAP (RADio CAPrice) - DRONE AMBIENT - стабильный эфир, хороший звук, качественный контент."
25,The Tube | NTS,the-tube-nts,The United Kingdom Of Great Britain And Northern Ireland,,https://www.nts.live/infinite-mixtapes/the-tube,8.75,avant-garde (tag); industrial (tag),"[""avant-garde"", ""industrial"", ""minimal wave"", ""post-punk""]","Oddball post-punk, industrial provocation, and minimal wave."
26,EBM,ebm,Germany,,https://flatlinesradio.de/,8.25,experimental (tag); industrial (tag),"[""dark wave"", ""ebm"", ""electronic"", ""electronica"", ""experimental"", ""industrial"", ""martial industrial"", ""new wave""]",
27,12XU,12xu,Germany,,http://onetwoxu.de/,7.75,noise rock (tag); noise (tag),"[""garage punk"", ""indie rock"", ""noise"", ""noise rock"", ""post-punk"", ""punk""]",12XU | Verspannungsmusik!
28,Radio Caprice - Folk Death Metal,radio-caprice-folk-death-metal,The Russian Federation,,http://radcap.ru/folkdeathmetal.html,7.43,death metal (name); metal (name),"[""death metal"", ""folk"", ""folk metal"", ""radcap"", ""radio caprice"", ""radio caprice; radcap""]","Радиоканал RADCAP (RADio CAPrice) - FOLK DEATH METAL - стабильный эфир, хороший звук, качественный контент."
29,Nightride FM - Datawave,nightride-fm-datawave,Germany,,https://nightride.fm/,7.25,idm (tag); glitch (tag),"[""glitchy synthwave"", ""idm"", ""retro computing""]","Stream synthwave and cyberpunk music from electronic artists producing retrowave, darksynth, ebm, dnb, edm, techno and other electronica in 320kbps."
30,Radio Zica,radio-zica,Slovenia,,http://radiozica.eu/,7.2,psychedelic (tag); ambient (tag); psych (tag),"[""alternative"", ""ambiental"", ""blues"", ""classic rock"", ""funk"", ""psychedelic"", ""psychedelic rock"", ""rock""]",Radio Žica – … je špica!
31,Ultra Dark Radio,ultra-dark-radio,Germany,,http://www.ultradarkradio.com/,7.1,industrial (tag); underground (tag); metal (tag),"[""80s"", ""alternative"", ""crossover"", ""darkwave"", ""ebm"", ""gothic"", ""industrial"", ""metal"", ""new wave"", ""newcomer"", ""underground""]",
32,Black Rhino Radio,black-rhino-radio,Romania,,https://blackrhinoradio.com/,7.05,experimental (tag); ambient (tag),"[""ambient"", ""electronic"", ""experimental"", ""hip-hop"", ""house"", ""indie"", ""jazz"", ""reggae"", ""soul"", ""techno""]",Black Rhino Radio
33,LYL Radio,lyl-radio,FR,LYL Radio,https://lyl.live/,7.05,experimental (tag); ambient (tag),"[""ambient"", ""experimental"", ""specialist""]",We
34,Modular-Station,modular-station,France,,https://modular-station.com/,7.05,experimental (tag); ambient (tag),"[""ambient"", ""electronic"", ""experimental"", ""modular synthesis"", ""soundscape"", ""techno""]",Modular Station – The Modular Music Radio
35,Skylab Radio,skylab-radio,Australia,,http://skylab-radio.com/,7.05,experimental (tag); ambient (tag),"[""ambient"", ""eclectic"", ""experimental"", ""hip-hop"", ""house"", ""rock"", ""techno""]",Skylab | Home
36,SomaFM SF 10-33 (128k MP3),somafm-sf-10-33-128k-mp3,The United States Of America,,https://somafm.com/sf1033/,7.05,experimental (tag); ambient (tag),"[""ambient"", ""experimental"", ""fire scanner"", ""live"", ""mix""]",Ambient music mixed with the sounds of San Francisco public safety radio traffic.
37,Planet Ambi HD,planet-ambi-hd,Switzerland,,https://planetambi.com/,6.75,drone (tag); ambient (tag),"[""ambient"", ""drone""]",Planet Ambi HD Radio. We provide 24/7 music for relaxation and sleep. Only the finest ambient soundscapes and no beats. Relaxation in HD.
38,Slow Focus | NTS,slow-focus-nts,The United Kingdom Of Great Britain And Northern Ireland,,https://www.nts.live/infinite-mixtapes/slow-focus,6.75,drone (tag); ambient (tag),"[""ambient"", ""drone"", ""relaxing""]","Meditative, relaxing and beatless: ambient, drone and ragas."
39,100% ACID JAZZ,100-acid-jazz,Canada,,https://radiosuitenetwork.torontocast.stream/100-acid-jazz/,6.55,free jazz (tag); ambient (tag),"[""acid"", ""acid jazz"", ""ambient"", ""canada"", ""classic jazz"", ""free jazz"", ""hip hop"", ""instrumental music"", ""instrumentales"", ""jazz"", ""jazz fusion"", ""latin jazz"", ""nu-jazz"", ""piano jazz"", ""relax"", ""relaxing"", ""smooth jazz"", ""toronto"", ""trumpeth""]",100% ACID JAZZ – Radio Suite Network
40,aNONradio,anonradio,The United States Of America,,http://anonradio.net/,6.55,experimental (tag); underground (tag),"[""community radio"", ""eclectic"", ""experimental"", ""music"", ""non-commercial"", ""non-profit"", ""talk"", ""underground"", ""volunteer""]",// aNONradio // – [LIVE]: News to Me with mnw
41,24-7 Psychedelic Rock,24-7-psychedelic-rock,The United Kingdom Of Great Britain And Northern Ireland,,https://24-7nicheradio.com/audiogallery/24-7-psychedelic/,6.08,psychedelic (name); psych (name),"[""psychedelic"", ""psychedelic rock""]",24-7 Psychedelic Rock | Niche Radio
42,Radio Caprice - Psychedelic Folk,radio-caprice-psychedelic-folk,The Russian Federation,,http://radcap.ru/psychfolk.html,6.08,psychedelic (name); psych (name),"[""folk"", ""psychedelic"", ""psychedelic folk""]","Радиоканал RADCAP (RADio CAPrice) - PSYCHEDELIC FOLK - стабильный эфир, хороший звук, качественный контент."
43,Radio Caprice - Experimental Techno [2],radio-caprice-experimental-techno-2,The Russian Federation,,http://radcap.ru/exptechno.html,6.08,experimental (name),"[""electronic"", ""experimental"", ""experimental techno"", ""techno""]","Радиоканал RADCAP (RADio CAPrice) - EXPERIMENTAL TECHNO - стабильный эфир, хороший звук, качественный контент."
44,Verdure Station,verdure-station,The Russian Federation,,http://verdure.net/,6.05,idm (tag); ambient (tag),"[""ambient"", ""deep ambient"", ""idm""]",Verdure station is a non-profit Internet radio station with atmosphere of comfort and peace of mind through music.
45,HEADY,heady,The United States Of America,,https://www.heady.fm/,6.03,psychedelic (tag); psych (tag); underground (blurb),"[""indie"", ""indie rock"", ""psychedelic"", ""psychedelic rock"", ""rock""]","Stream commercial-free music 24/7 on HEADY.FM. Discover underground music, your favorite tracks, emerging artists, and deep cuts without interruptions. Listen online now."
46,Basspistol Radio,basspistol-radio,Switzerland,,https://basspistol.com/radio,5.88,experimental (tag); underground (blurb),"[""dance"", ""electronic"", ""experimental"", ""hiphop"", ""indie""]","Outernational Music Syndicate. The underground is dead, long live the underground!"
47,Culture Failure,culture-failure,The United States Of America,,https://culturefailure.com/,5.75,noise (tag); ambient (tag),"[""ambient"", ""electronic"", ""minimal"", ""noise""]",
48,SomaFM Doomed (256k MP3),somafm-doomed-256k-mp3,The United States Of America,,https://somafm.com/doomed/,5.75,industrial (tag); ambient (tag),"[""ambient"", ""dark"", ""industrial""]",Where every day is Halloween: Dark industrial/ambient music for tortured souls.
49,1LIVE Fiehe,1live-fiehe,Germany,,https://www1.wdr.de/radio/1live/on-air/sendungen/1live-fiehe/index.html,5.55,krautrock (tag); ambient (tag),"[""1 live"", ""1 live fiehe"", ""ambient"", ""drum and bass"", ""dubstep"", ""freestyle"", ""klaus fiehe"", ""krautrock"", ""minimal"", ""raum und zeit""]","Für viele ist er der ""deutsche John Peel"", er selbst fühlt sich als ""der Typ, der korrektes Zeug auflegt"". Klaus Fiehe impft unsere mainstreamtauben Ohren mit hochdosierten Tracks zwischen Break- und Straight Beats."
50,Systrum Sistum - SSR2,systrum-sistum-ssr2,Australia,,https://www.systrum.net/,5.15,idm (tag); ambient (blurb),"[""electro"", ""electronica"", ""idm"", ""techno""]",Ambient Radio | Radio Electronica
51,Flatlines Radio,flatlines-radio,Germany,,https://www.flatlinesradio.de/,5.05,industrial (tag); metal (tag),"[""darkwave"", ""ebm"", ""folk"", ""gothic"", ""industrial"", ""melodic rock"", ""metal"", ""mittelalter"", ""neofolk"", ""new wave"", ""post-punk""]",
52,Heavy Music Atmospheric Radio,heavy-music-atmospheric-radio,The Russian Federation,,https://www.heavy-music.net/,5.05,post-rock (tag); metal (tag),"[""atmospheric"", ""doom"", ""gothic"", ""heavy metal"", ""metal"", ""post-rock"", ""progressive rock""]",We deliver purest atmospheric selections of Progressive and Post rock music. Stay tuned!
53,laut.fm Schwarze Szene,laut-fm-schwarze-szene,Germany,,http://laut.fm/schwarzeszene,5.05,industrial (tag); metal (tag),"[""folk"", ""dark wave"", ""electro"", ""gothic"", ""industrial"", ""medieval"", ""metal"", ""neofolk""]",
54,SomaFM Deep Space One (128k MP3),somafm-deep-space-one-128k-mp3,The United States Of America,,https://somafm.com/deepspaceone/,5.02,experimental (blurb); ambient (tag),"[""ambient"", ""electronic"", ""space""]","Deep ambient electronic, experimental and space music. For inner and outer space exploration."
55,Avant-Prog/Rock in Opposition/Canterbury Scene/Zeuhl - Radio Caprice,avant-prog-rock-in-opposition-canterbury-scene-zeuhl-radio-caprice,,,http://radcap.ru/avantprog.html,5.0,avant-garde (tag),"[""avant-garde"", ""zeuhl""]",
56,SomaFM — Sonic Universe,somafm-sonicuniverse,US,SomaFM,https://somafm.com/sonicuniverse/,5.0,avant-garde (tag),"[""avant-garde"", ""jazz"", ""specialist""]","Transcending the world of jazz with eclectic, avant-garde takes on tradition."
57,SomaFM CliqHop IDM (256k MP3),somafm-cliqhop-idm-256k-mp3,The United States Of America,,https://somafm.com/cliqhop/,4.73,idm (name),"[""idm""]",Blips
58,HighFi Dream,highfi-dream,The United States Of America,,https://highfidream.com/,4.65,psychedelic (tag); psych (tag),"[""alternative / indie"", ""dream pop"", ""dream-pop"", ""electronic"", ""house/soulful/deep house"", ""indie"", ""melodic house"", ""neo soul"", ""neo-soul"", ""new wave"", ""post punk"", ""psychedelic"", ""shoegaze"", ""synthpop"", ""synthwave"", ""trip-hop""]",High Fi Dream 92.3FM HD4 - Your musical dreams curated.
59,MDR Sputnik Insomnia,mdr-sputnik-insomnia,Germany,,http://sputnik.de/sendungen/musikspecials/sputnik-insomnia--100.html,4.65,psychedelic (tag); psych (tag),"[""melancholic"", ""psychedelic"", ""slow""]",
60,Memory Lane | NTS,memory-lane-nts,The United Kingdom Of Great Britain And Northern Ireland,,https://www.nts.live/infinite-mixtapes/memory-lane,4.65,psychedelic (tag); psych (tag),"[""garage rock"", ""psychedelic"", ""soul""]","Turn on, tune in, drop out."
61,PsyRadio Chillout,psyradio-chillout,Germany,,http://psyradio.fm/,4.65,psychedelic (tag); psych (tag),"[""chillout"", ""psychedelic""]","psyradio is an online webradio station. It broadcasts his finest selection of psychedelic electronic music 24 hours a day. It consists of four music channels: progressive, psytrance, chillout and alternative."
62,PsyStream,psystream,The United Kingdom Of Great Britain And Northern Ireland,,http://psymusic.co.uk/,4.65,psychedelic (tag); psych (tag),"[""progressive"", ""psychedelic"", ""psytrance"", ""trance""]",
63,RadiOzora,radiozora,Hungary,,https://radiozora.fm/,4.65,psychedelic (tag); psych (tag),"[""darkpsy"", ""full-on"", ""ozora"", ""progressive psytrance"", ""psychedelic"", ""psytrance"", ""trance""]",We are connected to the same frequency
64,RadiOzora Chill,radiozora-chill,Hungary,,https://radiozora.fm/,4.65,psychedelic (tag); psych (tag),"[""chill"", ""chillout"", ""downtempo"", ""electronic"", ""psychedelic"", ""psychill""]",We are connected to the same frequency
65,Radio Ozora,radio-ozora,Hungary,,https://radiozora.fm/,4.65,psychedelic (tag); psych (tag),"[""goa"", ""psychedelic""]",We are connected to the same frequency
66,psyradio * fm - progressive,psyradio-fm-progressive,Germany,,http://psyradio.fm/,4.65,psychedelic (tag); psych (tag),"[""progressive"", ""psychedelic"", ""psytrance""]","psyradio is an online webradio station. It broadcasts his finest selection of psychedelic electronic music 24 hours a day. It consists of four music channels: progressive, psytrance, chillout and alternative."
67,DARK ZERO RADIO,dark-zero-radio,Germany,,https://dark-zero-radio.com/,4.58,industrial (tag); underground (blurb),"[""dark wave"", ""ebm"", ""futurepop"", ""gothic"", ""gothic-rock"", ""industrial"", ""new beat."", ""new wave"", ""post-punk"", ""synth-pop""]","Dark-Zero-Radio is an online radio station based in Germany, specializing in Darkwave, EBM, Futurepop, Gothic Rock, Industrial, New Beat, New Wave, Post-Punk, Synthpop, NDH, and Melodic Rock. Founded in March 2018, it delivers an exciting mix of alternative and underground music"
68,8Ball Radio,8ball-radio,US,8 Ball Community,https://8ballradio.nyc/,4.5,experimental (tag),"[""community"", ""experimental"", ""specialist""]",8-Ball Radio - Community Based Online Radio Station
69,GDS.FM,gds-fm,Switzerland,,http://www.gds.fm/,4.5,experimental (tag),"[""acid-house"", ""experimental"", ""hiphop"", ""indie rock"", ""nu-jazz"", ""trip hop""]","GDS.FM ist eine wichtige Plattform für hiesige Musikschaffende und sendet nonstop besten Sound ohne mühsame Werbeunterbrechungen. Seit 2014 setzen wir uns dafür ein, dass die kulturelle Vielfalt, die das Schweizer Nachtleben zu bieten hat, auch über Radio zugänglich gemacht wird."
70,Kiosk Radio,kiosk-radio,BE,Kiosk Radio,https://www.kioskradio.com/,4.5,experimental (tag),"[""club"", ""electronic"", ""experimental"", ""specialist""]","Kiosk Radio is a community web radio station and streaming platform broadcasting 24/7 from a wooden kiosk in the heart of Brussels' historic 'Parc Royal'. Since 2017, it's been a place where music drifts between genres without boundaries or rules."
71,Lahmacun Radio,lahmacun-radio,HU,Lahmacun Radio,https://lahmacun.hu/,4.5,experimental (tag),"[""electronic"", ""experimental"", ""specialist"", ""world""]",Lahmacun.hu is an online music & more radio from Budapest since 2018
72,Polushon,polushon,Sweden,,http://polushon.com/,4.5,experimental (tag),"[""experimental"", ""jazz"", ""world"", ""world music""]",Polushon Radio
73,Radio Centraal 106.7FM,radio-centraal-106-7fm,Belgium,,https://www.radiocentraal.be/,4.5,experimental (tag),"[""avante-garde"", ""community"", ""experimental"", ""independent"", ""non-commercial"", ""situationist""]",
74,Rap House | NTS,rap-house-nts,,,https://www.nts.live/infinite-mixtapes/rap-house,4.5,experimental (tag),"[""drill"", ""experimental"", ""rap"", ""trap""]",808s and champagne.
75,Resonance FM 104.4 - London,resonance-fm-104-4-london,The United Kingdom Of Great Britain And Northern Ireland,,https://www.resonancefm.com/,4.5,experimental (tag),"[""community radio"", ""experimental"", ""london""]","Resonance is a groundbreaking 24/7 radio station which broadcasts on 104.4 FM to central London, DAB to Greater London, nationally on Radioplayer and live streamed to the rest of the world"
76,Super45.fm,super45-fm,Chile,,https://super45.fm/,4.5,experimental (tag),"[""experimental"", ""indie""]",Radio online desde Santiago de Chile. Probablemente la mejor radio del mundo.
77,Yammat FM,yammat-fm,Croatia,,https://www.yammat.fm/,4.5,experimental (tag),"[""alternative"", ""dance"", ""disco"", ""experimental"", ""funk"", ""gospel"", ""hip-hop"", ""house"", ""indie"", ""punk"", ""reagge"", ""rock"", ""soul"", ""techno"", ""world""]","Radio streamovi Za drugo stanje svijesti Pokrenite svoj zvuk, live i tematskim glazbenim streamovima. Pred vama je sve što vam treba. play_arrow ROMANTIC REBELS & POP WAVES New Wave / POP / 80's / 90's play_arrow YAMMAT LIVE ON AIR play_arrow STREET SPITTA HIP HOP/"
78,p-node,p-node,France,,https://p-node.org/,4.5,experimental (tag),"[""experimental""]",∏ node is an hybrid radio/stream platform
79,Radio Caprice - Post-rock,radio-caprice-post-rock,The Russian Federation,,http://radcap.ru/postrock.html,4.32,post-rock (name),"[""post-rock""]",
80,Le Grigri,le-grigri,France,,https://www.le-grigri.com/,4.0,free jazz (tag),"[""african music"", ""free jazz"", ""hip-hop"", ""jazz"", ""world"", ""world music""]",C’était quoi cette track ? ON AIR Titre en cours de diffusion Lecteur audio Download on Follow us Facebook X-twitter Instagram DONATE Carte blanche Carte Blanche de Buck. 1h de sons sélectionnés par le sextet pour leur nouvel album. Listen now ↗ Last news Best album of the
81,Radio Underground,radio-underground,Poland,,http://www.radiounderground.org/,3.88,underground (name); metal (tag),"[""independent music"", ""metal"", ""polska"", ""post-punk"", ""punk"", ""punk rock"", ""punkowe radio"", ""radio underground"", ""reggae"", ""ska""]",PUNKOWE RADIO UNDERGROUND. Muzyka Punk z lat
82,dinamo.fm smog,dinamo-fm-smog,Türkiye,,http://www.dinamo.fm/,3.5,idm (tag),"[""deep"", ""dub"", ""electronica"", ""idm""]",
83,Darksynth Radio,darksynth-radio,Austria,,https://laut.fm/darksynthradio,3.2,industrial (tag),"[""electronic"", ""80s"", ""darkwave"", ""electropop"", ""gothic"", ""industrial"", ""minimal wave"", ""synthpop""]",
84,ElectroZombies,electrozombies,Germany,,https://electrozombies.com/,3.2,industrial (tag),"[""darkwave"", ""ebm"", ""electropop"", ""futurepop"", ""gothic"", ""industrial"", ""new wave"", ""synthpop""]","Your no.1 place for classic to contemporary synth pop music. Discover music videos, album reviews, and more of your beloved music genre."
85,Ambient Modern,ambient-modern,The United States Of America,,https://ambientmodern.com/,2.7,ambient (name),"[""ambient"", ""chillout"", ""non-commercial"", ""relaxation music"", ""relaxing""]",Ambient Modern – a radio station for modern ambient music
86,Ambiento,ambiento,Romania,,https://ambientoradio.com/,2.7,ambient (name),"[""ambient"", ""chillout"", ""lounge""]",Muzica ambientala - lounge - chillout | Ambiento Radio
87,CoSTa's Ambient Radio,costa-s-ambient-radio,Poland,,https://pc.costa-server.info.pl:11020/public/costas_ambient_radio,2.7,ambient (name),"[""ambient"", ""electronic"", ""psybient""]",
88,ISEKOI Radio | Non-Stop Ambient,isekoi-radio-non-stop-ambient,France,,https://isekoi-radio.com/,2.7,ambient (name),"[""ambient"", ""meditation"", ""relax"", ""relaxation""]","Your gateway to cosmic frequencies. ISEKOI monitors the deep space for unique signals, broadcasting these celestial discoveries 24/7."
89,RADCAP: AMBIENT DUB,radcap-ambient-dub,The Russian Federation,,http://radcap.ru/ambientdub.html,2.7,ambient (name),"[""ambient"", ""ambient dub""]","Радиоканал RADCAP (RADio CAPrice) - AMBIENT DUB - стабильный эфир, хороший звук, качественный контент."
90,Radio Caprice: Ambient,radio-caprice-ambient,The Russian Federation,,http://radcap.ru/ambient.html,2.7,ambient (name),"[""ambient""]","Радиоканал RADCAP (RADio CAPrice) - AMBIENT - стабильный эфир, хороший звук, качественный контент."
91,Traxx FM - Ambient,traxx-fm-ambient,Switzerland,,http://www.traxx.fm/,2.7,ambient (name),"[""ambient"", ""ambient and relaxation music"", ""chill"", ""chillout"", ""commercial-free"", ""no ads"", ""relax"", ""relaxation"", ""relaxation music"", ""relaxing""]",
92,ambient.fm,ambient-fm,The United States Of America,,https://ambient.fm/,2.7,ambient (name),"[""ambient"", ""ambient and relaxation music"", ""ambient easy listening"", ""ambient lounge"", ""ambient techno"", ""deep ambient"", ""easy music"", ""electronic"", ""light"", ""meditate"", ""meditation"", ""nevada"", ""peace"", ""relaxation music"", ""relaxing"", ""tonopah"", ""yoga"", ""zen ambient""]",Ambient music broadcasting from Nevada
93,KFJC 89.7 FM,kfjc,US,Foothill College,https://kfjc.org,2.48,experimental (blurb),"[""college""]","KFJC 89.7 FM in Los Altos Hills, California, is a volunteer-run radio station serving the Bay Area with live DJs playing a freeform mix of new music, audio art, and experimental sounds found nowhere else."
94,SomaFM Underground 80s (128k MP3),somafm-underground-80s-128k-mp3,The United States Of America,,https://somafm.com/u80s/,2.03,underground (name),"[""80s"", ""new wave"", ""uk synthpop""]",Early 80s UK Synthpop and a bit of New Wave.
95,SomaFM Underground 80s (256k MP3),somafm-underground-80s-256k-mp3,The United States Of America,,https://somafm.com/u80s/,2.03,underground (name),"[""80s"", ""new wave"", ""uk synthpop""]",Early 80s UK Synthpop and a bit of New Wave.
96,Candelight,candelight,The Netherlands,,http://www.candlelight.nl/,2.0,ambient (tag),"[""ambient"", ""ambient and relaxation music""]",Love Songs & Pop Classics
97,Chill Lounge Florida (USA) 128k mp3,chill-lounge-florida-usa-128k-mp3,The United States Of America,,https://vip2.fastcast4u.com/proxy/chillfla?mp=/1,2.0,ambient (tag),"[""ambient"", ""chill"", ""chillout"", ""lounge""]",
