cohort_rank,station,slug,action,proposed_summary,editorial_interest,evidence_quality,flag,reason,source_urls
16,WMFO 91.5 FM,wmfo,improve,"Tufts Freeform Radio is a university-connected station from Medford, Massachusetts, giving student programmers a platform for eclectic music and independently shaped shows. The available public material provides only a limited view of its current programming and editorial identity.",medium,medium,,"Current copy is a slogan, scrape fragment, or insufficiently specific description.",https://wmfo.org
17,RadioActive,radioactive,improve,"RadioActive is a small Greek station presenting a community-scale broadcast service, but its public materials provide limited detail about ownership, schedule, or musical policy. The available public material provides only a limited view of its current programming and editorial identity.",low,low,,Available evidence is too sparse to judge the station’s editorial identity confidently.,https://radioactivefm.gr/
18,KCRW — Eclectic 24,kcrw-eclectic24,keep_reviewed,"Eclectic24 is KCRW’s online music channel, linking the Santa Monica public-radio station’s discovery-focused music output to a continuous web stream.",high,high,,Existing reviewed profile or strong curated summary; preserve verbatim.,https://www.kcrw.com/music/shows/eclectic24; https://www.kcrw.com/about
19,BBC 6 Music,bbc-6music,keep_reviewed,"BBC 6 Music is a UK-wide BBC music network with a presenter-led mix of new releases, overlooked catalogue tracks, sessions, and specialist programmes available through BBC Sounds.",high,high,,Existing reviewed profile or strong curated summary; preserve verbatim.,https://www.bbc.co.uk/6music; https://www.bbc.co.uk/sounds/schedules/bbc_6music
20,Radio SAR - Studencka Agencja Radiowa,radio-sar-studencka-agencja-radiowa,improve,"Poland’s Radio SAR is the student station of the Silesian University of Technology, pairing a long-running campus identity with online music broadcasting. The available public material provides only a limited view of its current programming and editorial identity.",medium,medium,,"Current copy is a slogan, scrape fragment, or insufficiently specific description.",https://radiosar.pl/
21,Nostalgie New York,nostalgie-new-york,improve,"Nostalgie New York is listed as a New York-facing online stream, but the supplied site currently exposes unrelated promotional material rather than verifiable station ownership or programming.",low,low,,The available service appears generic or redundant and lacks enough reliable detail for stronger evaluation.,https://nstlgy.com/
22,FIP Groove,fip-groove,keep_reviewed,"FIP Groove is Radio France's stream for soul, funk, R&B and trip-hop, using a rhythm-centered selection that connects classic voices with later recordings.",high,high,,Existing reviewed profile or strong curated summary; preserve verbatim.,https://www.radiofrance.fr/fip/radio-groove
23,WTBU 89.3 FM,wtbu,improve,"Boston University’s WTBU is a student-run radio service whose current public listing confirms the campus connection, while detailed musical scope is not readily documented in the supplied source.",medium,low,,Available evidence is too sparse to judge the station’s editorial identity confidently.,https://spinitron.com/WTBU/
24,WPRB 103.3 FM,wprb,keep_reviewed,"WPRB is Princeton's community-supported, nonprofit freeform station, pairing student and community DJs with human-curated broadcasts and a global webstream.",high,high,,Existing reviewed profile or strong curated summary; preserve verbatim.,https://wprb.com/about/; https://www.wprbhistory.org/
25,WLUW 88.7 FM,wluw,improve,"Loyola University Chicago’s WLUW is a non-commercial campus station with a published playlist service, but the supplied source offers too little station-level context to characterize its editorial focus confidently.",medium,low,,Available evidence is too sparse to judge the station’s editorial identity confidently.,https://spinitron.com/WLUW/
26,WHRB 95.3 FM,whrb,keep_reviewed,"Harvard’s volunteer undergraduate radio corporation has served Boston for more than eight decades with classical, jazz, underground rock, news, sports, and weekend specialty programs.",high,high,,Existing reviewed profile or strong curated summary; preserve verbatim.,https://www.whrb.org/about/; https://www.whrb.org/programming/program-schedule/
27,CJSR 88.5 FM,cjsr,improve,"Edmonton’s listener-supported, volunteer-powered CJSR is a community station associated with the University of Alberta, offering a locally rooted alternative to commercial radio. The available public material provides only a limited view of its current programming and editorial identity.",high,medium,,"Current copy is a slogan, scrape fragment, or insufficiently specific description.",https://www.cjsr.com/
28,Traxx FM - Cool Jam,traxx-fm-cool-jam,improve,"Traxx FM Cool Jam is a commercial-free online channel built around smooth jazz, nu-jazz, lounge, and relaxed listening, with little evidence of a distinct presenter-led identity.",low,medium,,Generic or narrowly automated stream with limited editorial distinctiveness.,http://www.traxx.fm/
29,Radio Paradise World/ETC Mix 192k MP3,radio-paradise-world-etc-mix-192k-mp3,improve,"Radio Paradise’s World/ETC stream is part of a listener-supported internet service known for human-curated eclectic mixes, here focused on global and exploratory selections. The available public material provides only a limited view of its current programming and editorial identity.",high,high,,"Current copy is a slogan, scrape fragment, or insufficiently specific description.",https://radioparadise.com/
30,KUTX 98.9 FM,kutx,improve,"KUTX is a full-time non-commercial music station broadcasting on 98.9 FM in Austin, Texas, and streamed worldwide at kutx.org. The available public material provides only a limited view of its current programming and editorial identity.",low,low,,Available evidence is too sparse to judge the station’s editorial identity confidently.,https://kutx.org/
31,dinamo.fm sleep,dinamo-fm-sleep,improve,"Dinamo FM Sleep is a Turkish online sleep stream associated with Dinamo’s electronic and indie radio project, but public information is too sparse to establish its programming model.",low,low,,The available service appears generic or redundant and lacks enough reliable detail for stronger evaluation.,http://www.dinamo.fm/
32,SomaFM Black Rock FM (128k AAC Non-SSL),somafm-black-rock-fm-128k-aac-non-ssl,improve,"SomaFM’s Black Rock FM is an internet channel inspired by Nevada’s Black Rock Desert, translating that event and community association into a continuous electronic music stream.",medium,medium,,"Current copy is a slogan, scrape fragment, or insufficiently specific description.",http://somafm.com/brfm/
33,DKFM Classic,dkfm-classic,improve,"DKFM Classic is a Decay FM stream dedicated to shoegaze, offering a focused archive-oriented genre channel rather than a broad presenter-led station. The available public material provides only a limited view of its current programming and editorial identity.",medium,medium,,"Current copy is a slogan, scrape fragment, or insufficiently specific description.",https://decayfm.com/dkfm-classic-2/
34,Synthradio,synthradio,improve,"Synthradio is a Russian-language online stream centered on synthpop, alternative, EBM, and futurepop, with continuous electronic programming and limited public information about its editorial operation.",medium,medium,,"Current copy is a slogan, scrape fragment, or insufficiently specific description.",http://synth-radio.ru/
35,Radio Caprice - Post-rock,radio-caprice-post-rock,improve,"Radio Caprice’s Post-rock channel is a Russian automated genre stream devoted to post-rock, with public materials offering little evidence of hosts, community, or broader editorial programming.",low,low,,Generic or narrowly automated stream with limited editorial distinctiveness.,http://radcap.ru/postrock.html
36,ISEKOI Radio | Non-Stop Ambient,isekoi-radio-non-stop-ambient,improve,"ISEKOI Radio is a French online ambient stream built around continuous atmospheric listening and a cosmic-space presentation, with limited evidence of human programming beyond the channel concept.",medium,medium,,"Current copy is a slogan, scrape fragment, or insufficiently specific description.",https://isekoi-radio.com/
37,Systrum Sistum - SSR1,systrum-sistum-ssr1,improve,"Systrum Sistum SSR1 is an Australian online ambient and electronic stream offering continuous atmospheric programming, though its public source gives little detail about presenters or community.",medium,low,,Available evidence is too sparse to judge the station’s editorial identity confidently.,https://www.systrum.net/
38,SomaFM — Lush,somafm-lush,improve,"SomaFM’s Lush is a listener-supported internet channel focused on sensuous, mellow female vocals with electronic influence, a tightly defined mood stream within the SomaFM network.",medium,high,,"Current copy is a slogan, scrape fragment, or insufficiently specific description.",https://somafm.com/lush/
39,FIP World,fip-world,keep_reviewed,"FIP Monde is Radio France's world-music stream, bringing together an eclectic selection that travels across languages, regions and traditions.",high,high,,Existing reviewed profile or strong curated summary; preserve verbatim.,https://www.radiofrance.fr/fip/radio-monde
40,KPISS,rb-56241b49-2f23-4266-bdad-f4ad9a41ee24,improve,No scraped station description is currently available. The available public material provides only a limited view of its current programming and editorial identity.,low,low,,Available evidence is too sparse to judge the station’s editorial identity confidently.,
41,PANORAMA80,panorama80,improve,"Panorama80 is a German online stream tagged across 1980s synthpop, new wave, EBM, electro, and related styles, but the supplied source offers no clear evidence of human editorial programming.",low,low,,The available service appears generic or redundant and lacks enough reliable detail for stronger evaluation.,http://www.facebook.com/panorama80
42,Ambiento,ambiento,improve,"Ambiento is a Romanian online stream centered on ambient, lounge, and chillout music. Its available description identifies a narrow mood-based format, but provides little evidence of presenters, commissioning, community role, or a distinctive editorial program.",low,low,low_interest_and_insufficient_info,The station appears to be a generic mood stream and the linked site offers too little verifiable organizational context to assess a stronger editorial identity.,https://ambientoradio.com/
43,Polushon,polushon,improve,"Polushon is a Swedish online radio project whose available station identity is limited to its name and stream homepage. Without a clear schedule, about page, or stated music policy, its ownership, geography, and programming model remain difficult to describe responsibly.",low,low,low_interest_and_insufficient_info,The source is accessible as a homepage but supplies insufficient editorial or institutional information.,http://polushon.com/
44,Radio FM,radio-fm,improve,"Radio FM is a Slovak public-media FM service associated with Slovenská televízia a rozhlas. The available record establishes its broadcaster and national context, but the linked page does not provide enough English-accessible detail here to characterize its music schedule or editorial distinction.",medium,medium,insufficient_info,"Public broadcaster affiliation is clear, while the supplied station page gives limited evidence about this specific service’s programming.",https://fm.rtvs.sk/
45,"WBEZ-HD2 ""Vocalo Stream"" Chicago, IL",wbez-hd2-vocalo-stream-chicago-il,improve,"Vocalo is WBEZ’s Chicago service for urban-alternative music and NPR Music, connecting a public-radio organization to local culture and a younger, genre-fluid audience through FM and online listening.",high,high,,"The station description and Vocalo homepage clearly establish its public-radio ownership, Chicago geography, and distinctive urban-alternative/music model.",http://vocalo.org/
46,181.FM - Chilled Out (USA) 128k mp3,181-fm-chilled-out-usa-128k-mp3,improve,"181.FM Chilled Out is an online channel from the 181.FM network built around uninterrupted chillout listening. It offers a recognizable mood and format, but the available player page provides little evidence of presenters, local community, or human-led programming.",low,medium,low_interest,"A clearly identified network stream, but commercially undifferentiated and apparently automated.",http://player.181fm.com/?station=181-chilled
47,Laut.FM Synthesizer Greatest,laut-fm-synthesizer-greatest,improve,"Synthesizer Greatest is a laut.fm user-created stream focused on ambient and electronic synthesizer music. The available record identifies its genre lane, but not a host, community, schedule, or curatorial rationale that would distinguish it beyond the category.",low,medium,low_interest,A narrow single-genre stream with limited evidence of editorial authorship.,https://www.laut.fm/synthesizergreatest
48,FIP Jazz,fip-jazz,keep_reviewed,"FIP Jazz is Radio France's jazz stream, presenting the style in many forms through a mix of newer recordings and established artists, with blues in the channel's brief.",high,high,,Existing reviewed profile sourced to Radio France's FIP Jazz and overview pages.,https://www.radiofrance.fr/fip/radio-jazz;https://www.radiofrance.fr/fip
49,SomaFM — CliqHop IDM,somafm-cliqhop,improve,"SomaFM CliqHop is a listener-supported internet channel devoted to glitchy, beat-driven IDM and experimental electronic music. Its focused brief gives the stream a recognizable niche, although it remains a continuous channel rather than a locally rooted presenter-led station.",medium,high,,SomaFM publishes a distinct channel identity and nonprofit/listener-supported operating context.,https://somafm.com/cliqhop/
50,Culture Failure,culture-failure,improve,"Culture Failure is an independent online project associated with ambient, electronic, minimal, and noise music. The available homepage and tags suggest an exploratory electronic focus, but offer little reliable information about presenters, ownership, geography, or a recurring editorial program.",low,low,low_interest_and_insufficient_info,"Interesting genre signals are present, but the project is not sufficiently documented to evaluate as a station.",https://culturefailure.com/
51,Path through the Forest,path-through-the-forest,improve,"Path through the Forest is a laut.fm stream spanning alternative, avant-garde, experimental, indie, industrial, noise, psychedelic, punk, rock, and stoner music. Its breadth suggests personal curation, but the available page does not identify a host, schedule, or community context.",low,medium,low_interest,The genre range is distinctive but the service appears to be a user-created automated stream with little documented editorial infrastructure.,http://laut.fm/path_through_the_forest
52,Heavy Music Atmospheric Radio,heavy-music-atmospheric-radio,improve,"Heavy Music Atmospheric Radio is an online Russian project focused on atmospheric progressive and post-rock. Its stated aim is a concentrated listening environment for expansive heavy music, but the available material provides little evidence of presenters, ownership, or a wider editorial program.",medium,medium,insufficient_info,"The musical niche is clear, while institutional and programming evidence is sparse.",https://www.heavy-music.net/
53,Lolli Radio Happy Station,lolli-radio-happy-station,improve,"Lolli Radio Happy is one channel in an Italian digital-radio network that also offers pop, dance, hits, oldies, soft, and classic services. The network context is clear, but this channel’s specific editorial voice appears limited beyond its mood-and-format positioning.",low,medium,low_interest,A commercial multi-channel service with little evidence of host-led curation on this stream.,http://www.lolliradio.net/
54,Championshipvinyl,championshipvinyl,improve,"Championshipvinyl is a laut.fm stream oriented toward acoustic, folk, and indie-folk recordings. Its genre focus gives it a modest discovery angle, but the available page does not document presenters, geography, ownership, or a broader editorial purpose.",low,medium,low_interest,A narrow user-created genre stream without visible editorial infrastructure.,https://laut.fm/championshipvinyl
55,Radio Mela,radio-mela,improve,"Radio Mela is an Italian online stream built around 1980s and 1990s music. Its retro focus gives listeners a simple period-based entry point, while the available homepage offers little evidence of presenters, local community work, or a distinctive selection policy.",low,medium,low_interest,A generic nostalgia format with limited signs of human editorial differentiation.,http://www.radiomela.it/
56,FIP Electro,fip-electro,keep_reviewed,"FIP Electro is Radio France's electronic-music stream, balancing newer and unreleased selections with familiar catalog landmarks from the wider electronic field.",high,high,,Existing reviewed profile sourced to Radio France's FIP Electro and overview pages.,https://www.radiofrance.fr/fip/radio-electro;https://www.radiofrance.fr/fip
57,6forty Radio,6forty-radio,improve,"6forty Radio is an online music project tagged for deep indie, modern classical, post-metal, post-rock, and shoegaze. Those intersections suggest a potentially strong taste profile, but the available homepage does not establish who programs it or how the stream is curated.",medium,low,insufficient_info,"The musical combination is editorially promising, but evidence about the station and its programming is too sparse.",http://www.6fortyradio.com/
58,aNONradio,anonradio,improve,"aNONradio is an independent online radio project presenting live programs and community broadcasts, including the listed News to Me show. Its homepage indicates human-made programming, but provides limited stable information about ownership, geography, schedule breadth, or music focus.",medium,medium,insufficient_info,"There is evidence of live programming, but not enough accessible context to characterize the service fully.",http://anonradio.net/
59,Art Of Music,art-of-music,improve,"Art Of Music is an Italian online station built around soulful house, disco, soul, rare groove, funk, and nu-jazz, with DJs and music designers presented as part of the service. Its genre brief is clear, though its community and institutional role are not.",medium,medium,,"The homepage gives a defined stylistic focus and DJ-led model, but limited ownership or geographic detail.",https://artofmusic.fm/
60,ByteFM,bytefm-192k,improve,"Hamburg-based ByteFM is a moderated online radio station pairing music programming with interviews and background reporting. Its Grimme Online Award-winning profile and presenter-led model make it more editorially substantial than an automated stream, even where the individual channel is only a bitrate variant.",high,high,,"Official station copy identifies location, moderation, interviews, background information, and institutional recognition.",https://www.byte.fm/
61,CKUA Radio,ckua,improve,"CKUA is an Alberta listener-supported public-radio network whose music service connects regional Canadian broadcasting with eclectic, host-led programming. The supplied homepage clearly establishes its donation-supported model, though this record needs a fuller schedule-based description of its genres and communities.",high,medium,insufficient_info,"The organization and public-service model are clear, but the supplied copy is fundraising language rather than a programming description.",https://ckua.com
62,dinamo.fm smog,dinamo-fm-smog,improve,"Dinamo.fm Smog is a Turkish online stream associated with deep, dub, electronica, and IDM. The genre combination suggests a club-oriented electronic lane, but the available station record does not document presenters, ownership, geography, or a human programming schedule.",medium,low,insufficient_info,"A potentially distinctive niche is visible, but the evidence is limited to tags and the network homepage.",http://www.dinamo.fm/
63,East Tennessee's Own WDVX 89.9 FM,east-tennessee-s-own-wdvx-89-9-fm,improve,"WDVX is a listener-supported community station serving East Tennessee from Knoxville, with a music-led schedule rooted in local artists, Americana, roots, and live performance. Its regional identity makes it substantially more distinctive than a generic internet stream.",high,high,,"The official station homepage establishes community ownership, East Tennessee geography, and a music-centered local-service identity.",https://wdvx.com/
64,Experimental/Avant-garde music - Radio Caprice,experimental-avant-garde-music-radio-caprice,improve,"Radio Caprice’s experimental and avant-garde channel is a Russian internet stream organized around a narrow specialist category. It may suit listeners seeking unconventional music, but the available page offers little evidence of hosts, community, or editorial selection beyond the genre label.",medium,medium,low_interest,"A specialist stream with some discovery value, but no visible human or institutional editorial identity.",http://radcap.ru/playback-history/4/experimental-ph.php
65,FIP Reggae,fip-reggae,keep_reviewed,"FIP Reggae is Radio France's dedicated reggae stream, moving through roots, ska, dub and kumina while making room for both canonical and current artists.",high,high,,Existing reviewed profile sourced to Radio France's FIP Reggae and overview pages.,https://www.radiofrance.fr/fip/radio-reggae;https://www.radiofrance.fr/fip
66,Fluid Radio,fluid-radio,improve,"Fluid Radio is an online project presenting experimental frequencies and ambient-oriented music. Its name and homepage indicate a specialist listening space, but the available material does not sufficiently document ownership, presenters, geography, schedule, or the boundaries of its musical program.",medium,low,insufficient_info,"Potentially interesting specialist identity, but insufficient accessible evidence to evaluate it.",http://www.fluid-radio.co.uk/
67,JAMM FM,jamm-fm,improve,"JammFM is a Dutch local station serving Ouder-Amstel with a smooth-and-funky music brief. Its community geography and named locality give it more identity than a generic stream, although the available record does not provide enough detail about presenters, ownership, or schedule structure.",medium,medium,insufficient_info,"Local-service context is visible, but programming evidence is incomplete.",http://www.jammfm.nl/
68,Jazzloft,jazzloft,improve,"Jazzloft is a laut.fm stream combining jazz, lounge, smooth, soul, and world music. The broad easy-listening brief is clear, but the available page does not identify presenters, a locality, ownership, or a curatorial rationale beyond its genre tags.",low,medium,low_interest,A generic multi-genre stream with little evidence of an editorial institution or host community.,http://stream.laut.fm/jazzloft
69,KAOS 89.3 FM,kaos,improve,"KAOS is Evergreen State College’s Olympia radio service, connecting student and community broadcasting with an eclectic schedule of music and public-affairs programming. Its campus setting and noncommercial identity provide a stronger editorial frame than a directory-only stream.",high,high,,The station and college affiliation are official; the supplied schedule page establishes an active broadcast context.,https://spinitron.com/KAOS/
70,KCSM 91.1 FM,kcsm,improve,"KCSM Jazz 91.1 is College of San Mateo’s educational and public-radio station in the San Francisco Bay Area, centered on jazz programming and online listening. Its educational ownership and focused music remit give the service a clear institutional identity.",high,high,,"Official station description establishes college ownership, geography, public-radio status, and jazz focus.",https://kcsm.org
71,KDUR 91.9 FM,kdur,improve,"KDUR is Fort Lewis College’s noncommercial campus station in Durango, Colorado. The supplied record confirms the university connection and a published program listing, but the linked page is a schedule platform rather than enough evidence to characterize its music, community, or editorial range.",medium,medium,insufficient_info,"Institutional context is clear, but the available source is largely infrastructure documentation.",https://spinitron.com/KDUR/
72,KDVS 90.3 FM,kdvs,keep_reviewed,"UC Davis’s noncommercial, student-run station grew from a 1964 dormitory broadcast into a 24/7 FM service known for diverse, challenging, freeform programming.",high,high,,Existing reviewed profile in station-profiles/batch-5.ts; preserve verbatim.,https://kdvs.org/about;https://studentlife.ucdavis.edu/student-media
73,KFAI 90.3 FM,kfai,improve,"KFAI is a Minneapolis–Saint Paul volunteer community station serving audiences across diverse racial, social, and economic communities. Its public mission supports a broad mix of arts, information, and entertainment programming, though the supplied schedule source does not expose its music identity in detail.",high,high,,"Official station description clearly establishes volunteer governance, Twin Cities geography, and community-service mission.",https://spinitron.com/KFAI/
74,KSJS 90.5 FM,ksjs,improve,"KSJS is San José State University’s student-run 90.5 FM station, broadcasting new and independent music alongside campus radio programming. Its long-running university setting and student operation provide a clear community identity, though the supplied page gives limited genre detail.",high,medium,insufficient_info,"Ownership, location, and student model are clear; the available source needs a fuller current schedule for music characterization.",https://spinitron.com/KSJS/
75,KTUH 90.3 FM,ktuh,improve,"KTUH is the University of Hawaiʻi at Mānoa’s noncommercial, student-run and listener-supported station in Honolulu, founded in 1969 as Hawaiʻi’s first noncommercial FM service. Its campus origin and island setting are central to its identity, though the supplied source gives limited music detail.",high,high,,"Official station description establishes ownership, Honolulu geography, history, and operating model.",https://spinitron.com/KTUH/
76,KUCR 88.3 FM,kucr,keep_reviewed,"KUCR is the University of California, Riverside’s campus radio service, connecting student-media broadcasting with the Inland Empire community and an online audience.",medium,high,,Existing reviewed profile sourced to UC Riverside and KUCR pages; preserve verbatim.,https://ucr.edu/about-ucr;https://kucr.org/
77,KZSC 88.1 FM,kzsc,improve,"KZSC is UC Santa Cruz’s student and community station, broadcasting from the redwood-covered campus toward the wider Monterey Bay region. Its campus-community model and freeform college-radio setting are clear, while the supplied page offers little detail about current music specialties.",high,medium,insufficient_info,"The station identity and geography are established, but the schedule source is insufficient for a more specific programming description.",https://spinitron.com/KZSC/
78,SomaFM CliqHop IDM (256k MP3),somafm-cliqhop-idm-256k-mp3,improve,"SomaFM CliqHop is a listener-supported internet channel devoted to glitchy, beat-driven IDM and experimental electronic music. This 256k stream is a technical variant of the same focused service, not a separate editorial station.",medium,high,,The official SomaFM channel page documents the distinctive format and network context; the slug is a bitrate duplicate.,https://somafm.com/cliqhop/
79,SomaFM DEF CON Radio (128k AAC),somafm-def-con-radio-128k-aac,improve,"SomaFM DEF CON Radio is a listener-supported internet channel pairing electronic music with a year-round hacking and computer-security culture brief. Its subject-specific concept is distinctive, although this AAC stream is a technical variant rather than a separate station.",high,high,,"Official channel page establishes the DEF CON theme, music service, and SomaFM network model.",https://somafm.com/defcon/
80,SomaFM SF 10-33 (128k MP3),somafm-sf-10-33-128k-mp3,improve,"SomaFM SF 10-33 is a listener-supported San Francisco channel that mixes ambient music with public-safety radio traffic. The unusual sound-design concept gives it a distinctive place in the network, while this MP3 entry is a technical stream variant.",high,high,,Official channel page explicitly describes the ambient and San Francisco public-safety audio concept.,https://somafm.com/sf1033/
81,SomaFM — Sonic Universe,somafm-sonicuniverse,improve,"SomaFM Sonic Universe is a listener-supported internet channel for eclectic, avant-garde approaches to jazz. Its specialist remit gives the stream a clear discovery identity, though it remains a continuous online channel rather than a geographically rooted presenter-led station.",medium,high,,Official channel page provides a distinctive jazz brief and SomaFM context.,https://somafm.com/sonicuniverse/
82,Systrum Sistum - SSR2,systrum-sistum-ssr2,improve,"Systrum Sistum SSR2 is an Australian online channel presenting ambient and electronic music. The service offers a focused atmospheric listening proposition, but the available homepage does not provide enough information about presenters, ownership, geography, schedule, or a broader editorial mission.",medium,medium,insufficient_info,"The genre identity is clear, while evidence of human programming and institutional context is sparse.",https://www.systrum.net/
83,WKNC 88.1 FM,wknc,keep_reviewed,NC State student radio WKNC 88.1 FM combines student-led alternative programming with separate HD-1 and HD-2 schedules for indie and electronic music.,high,high,,Existing reviewed profile; preserve verbatim,https://wknc.org/about/;https://wknc.org/schedule/hd-1/
84,100% ACID JAZZ,100-acid-jazz,improve,"A TorontoCast Radio Suite Network stream devoted to acid jazz, with the available station page identifying a narrow genre channel but providing little evidence of presenters, ownership, or local community.",low,low,low_interest_and_insufficient_info,The page identifies only a genre stream and network host; no distinctive editorial structure is evident.,https://radiosuitenetwork.torontocast.stream/100-acid-jazz/
85,12XU,12xu,improve,"12XU is a German online station whose public identity points toward punk and underground music, but its available page offers too little verified information about operators, schedule, or community to characterize the service confidently.",medium,low,insufficient_info,The official-looking homepage is sparse and the supplied copy is a slogan rather than an accountable station description.,http://onetwoxu.de/
86,1LIVE Fiehe,1live-fiehe,improve,"A WDR 1LIVE specialist programme hosted by Klaus Fiehe, known for selecting adventurous electronic, beat-driven, and left-field music within a public-broadcast schedule rather than running as a standalone station.",high,high,,Distinctive presenter-led programme with a clear public-broadcast home and documented musical remit.,https://www1.wdr.de/radio/1live/on-air/sendungen/1live-fiehe/index.html
87,24-7 Psychedelic Rock,24-7-psychedelic-rock,improve,"A 24-7 Niche Radio stream focused on psychedelic rock, offering a tightly defined genre listen but no clear evidence on the public page of presenters, local community, or a broader editorial programme.",low,medium,low_interest,The service appears to be an automated single-genre stream with little visible human curation.,https://24-7nicheradio.com/audiogallery/24-7-psychedelic/
88,8Ball Radio,8ball-radio,improve,"8-Ball Radio is a New York community-based online station associated with the 8-Ball community, giving local and independent music a platform through a human-facing radio project rather than a generic genre stream.",high,medium,,Community identity is clear; the available station page documents less programming detail than the strongest reviewed profiles.,https://8ballradio.nyc/
89,Amazing Radio,amazing-radio,keep_reviewed,"Amazing Radio is an online station built around discovering new music, pairing a live stream with hosted programmes and an artist-focused listening experience.",high,high,,Existing reviewed profile; preserve verbatim,https://amazingradio.com/about;https://amazingradio.com/schedule;https://amazingradio.com/
90,Ambient Modern,ambient-modern,improve,"Ambient Modern is an internet station centered on contemporary ambient music, offering a focused listening stream whose public description establishes the genre but not a presenter roster, ownership model, or community role.",low,medium,low_interest,"A single-genre service is identifiable, but no stronger editorial distinction is documented.",https://ambientmodern.com/
